,actor_id,time_zone
1333,64685,3
1334,64686,-4
1335,64687,-5
1336,64734,-8
1337,64804,-8
1338,64883,-4
1339,64906,4
1340,64996,-8
1341,65043,-8
1342,65147,-8
1343,65315,7
1344,65412,-8
1345,65505,-3
1346,65520,-5
1347,65531,-8
1348,65551,-8
1349,65563,-3
1350,65608,3
1351,65632,-3
1352,65675,-8
1353,65736,-5
1354,65852,-4
1355,65864,-5
1356,65925,-6
1357,65952,-8
1358,66007,-5
1359,66230,-3
1360,66243,-8
1361,66486,2
1362,66491,-3
1363,66555,-4
1364,66577,3
1365,66626,-8
1366,66798,-8
1367,66893,4
1368,66958,-8
1369,66961,-1
1370,66972,-3
1371,67049,2
1372,67060,-8
1373,67093,4
1374,67096,2
1375,67123,-1
1376,67124,-2
1377,67258,0
1378,67266,-8
1379,67276,3
1380,67283,5
1381,67381,-3
1382,67427,-3
1383,67430,-6
1384,67436,0
1385,67471,-2
1386,67496,3
1387,67512,3
1388,67554,-8
1389,67586,4
1390,67605,-3
1391,67612,-3
1392,67641,-8
1393,67725,-8
1394,67737,-8
1395,67804,-8
1396,67901,-3
1397,67958,7
1398,68032,5
1399,68057,-8
1400,68092,-8
1401,68102,-1
1402,68232,-8
1403,68416,-8
1404,68429,-8
1405,68463,-2
1406,68540,-5
1407,68551,-4
1408,68693,-2
1409,68752,3
1410,68855,4
1411,68917,3
1412,68940,-8
1413,69103,-8
1414,69167,-8
1415,69519,-8
1416,69536,5
1417,69629,-8
1418,69633,6
1419,69635,-8
1420,69717,-8
1421,69734,-4
1422,69770,-5
1423,69803,-2
1424,69814,-3
1425,69818,-8
1426,69878,-8
1427,69902,1
1428,70062,-8
1429,70067,-3
1430,70274,-4
1431,70280,-5
1432,70376,-5
1433,70381,-8
1434,70410,-8
1435,70426,-8
1436,70481,-8
1437,70496,-8
1438,70736,-8
1439,70829,-4
1440,70861,0
1441,70865,4
1442,71047,5
1443,71236,5
1444,71256,7
1445,71315,-3
1446,71468,-8
1447,71486,-8
1448,71733,-4
1449,71768,-3
1450,71847,5
1451,71923,-3
1452,71928,2
1453,71999,-8
1454,72053,-8
1455,72062,-8
1456,72094,-3
1457,72141,0
1458,72159,0
1459,72164,2
1460,72198,-8
1461,72280,-5
1462,72603,-8
1463,72623,-8
1464,72675,-8
1465,72684,-3
1466,72712,-2
1467,72749,-1
1468,72891,-8
1469,72895,-8
1470,72940,-4
1471,72989,-8
1472,73019,3
1473,73091,-6
1474,73152,-8
1475,73185,-8
1476,73274,-8
1477,73386,4
1478,73419,-2
1479,73479,4
1480,73480,4
1481,73573,-4
1482,73579,-5
1483,73652,-2
1484,73684,-8
1485,73749,-8
1486,73818,-8
1487,73866,4
1488,73869,7
1489,73870,4
1490,73924,5
1491,73966,-5
1492,73973,3
1493,74178,-8
1494,74188,5
1495,74288,-8
1496,74384,-8
1497,74385,-8
1498,74571,-8
1499,74692,3
1500,74699,-8
1501,74859,-8
1502,74928,5
1503,75011,3
1504,75067,-8
1505,75235,-8
1506,75278,-8
1507,75337,-8
1508,75338,-8
1509,75390,-4
1510,75423,-4
1511,75427,-4
1512,75448,-8
1513,75470,5
1514,75517,-2
1515,75586,-2
1516,75597,4
1517,75736,-8
1518,75801,-8
1519,75821,1
1520,75864,-4
1521,75886,-8
1522,76071,-8
1523,76245,-2
1524,76308,4
1525,76330,-2
1526,76371,-8
1527,76526,-8
1528,76546,-2
1529,76576,-3
1530,76594,-3
1531,76639,-2
1532,76716,2
1533,76760,-1
1534,76776,-2
1535,76854,3
1536,76994,-8
1537,77034,-5
1538,77077,-8
1539,77126,0
1540,77211,-8
1541,77259,11
1542,77268,-8
1543,77272,-8
1544,77300,-4
1545,77388,-2
1546,77424,-8
1547,77482,4
1548,77531,-8
1549,77539,-8
1550,77611,-8
1551,77790,-8
1552,77936,-8
1553,77951,3
1554,78031,-8
1555,78134,-2
1556,78183,-8
1557,78213,-3
1558,78493,5
1559,78529,1
1560,78577,-1
1561,78644,-8
1562,78738,-8
1563,78827,-8
1564,78846,4
1565,78891,4
1566,78918,3
1567,78947,7
1568,78982,-8
1569,79102,-8
1570,79268,4
1571,79312,0
1572,79351,-8
1573,79405,3
1574,79476,-8
1575,79500,4
1576,79528,-7
1577,79566,3
1578,79578,-1
1579,79684,3
1580,79799,4
1581,79840,0
1582,79887,-8
1583,79913,7
1584,80071,-2
1585,80089,-3
1586,80104,1
1587,80132,-8
1588,80144,2
1589,80267,5
1590,80306,-2
1591,80388,-8
1592,80450,-3
1593,80459,3
1594,80543,6
1595,80580,-1
1596,80613,-8
1597,80741,-4
1598,80815,0
1599,81045,-8
1600,81052,-2
1601,81074,-8
1602,81079,-2
1603,81152,-8
1604,81188,-8
1605,81197,-8
1606,81205,-3
1607,81219,0
1608,81347,7
1609,81505,-8
1610,81549,-8
1611,81561,-3
1612,81714,-8
1613,81722,1
1614,81792,-4
1615,81858,-8
1616,81939,-4
1617,81942,-8
1618,81981,-8
1619,82161,1
1620,82178,3
1621,82182,-8
1622,82228,4
1623,82342,-8
1624,82365,-8
1625,82501,1
1626,82622,1
1627,82731,-8
1628,82988,-2
1629,83100,-8
1630,83173,-6
1631,83204,-8
1632,83281,-8
1633,83417,3
1634,83420,6
1635,83442,-8
1636,83470,-8
1637,83483,3
1638,83575,-4
1639,83586,-4
1640,83631,-8
1641,83657,-3
1642,83725,-5
1643,83737,2
1644,83857,-8
1645,83924,-8
1646,84022,-6
1647,84076,1
1648,84122,-5
1649,84202,5
1650,84308,0
1651,84317,4
1652,84583,-2
1653,84696,-8
1654,84712,-8
1655,84891,-8
1656,84993,5
1657,85085,-2
1658,85097,-1
1659,85355,4
